ctime,datname,pid,usesysid,usename,application_name,client_addr,client_port,backend_start,xact_start,query_start,waiting,query,state,state_change
1416274078.98804,dbt3,30808,10,mark,psql,,-1,2014-11-18 02:27:58.986436+01,2014-11-18 02:27:58.987934+01,2014-11-18 02:27:58.987934+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, relname, pid, mode, granted FROM pg_locks, pg_class WHERE relfilenode = relation ORDER BY relname) TO STDOUT (FORMAT CSV, HEADER);",active,2014-11-18 02:27:58.987938+01
1416274078.98804,dbt3,30809,10,mark,psql,,-1,2014-11-18 02:27:58.986523+01,2014-11-18 02:27:58.988044+01,2014-11-18 02:27:58.988044+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, pid, usesysid, usename, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV, HEADER);",active,2014-11-18 02:27:58.988049+01
1416274078.98804,dbt3,30813,10,mark,psql,,-1,2014-11-18 02:27:58.98688+01,,,f,"",idle,2014-11-18 02:27:58.989606+01
1416274078.98804,dbt3,30817,10,mark,psql,,-1,2014-11-18 02:27:58.987034+01,,,f,"",,
1416274138.99114,dbt3,2497,10,mark,psql,,-1,2014-11-18 02:28:58.988943+01,2014-11-18 02:28:58.990663+01,2014-11-18 02:28:58.990663+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV);",active,2014-11-18 02:28:58.990667+01
1416274138.99114,dbt3,2498,10,mark,psql,,-1,2014-11-18 02:28:58.989087+01,2014-11-18 02:28:58.99071+01,2014-11-18 02:28:58.99071+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, numbackends, xact_commit, xact_rollback, blks_read, blks_hit, tup_returned, tup_fetched, tup_inserted, tup_updated, tup_deleted FROM pg_stat_database) TO STDOUT (FORMAT CSV);",active,2014-11-18 02:28:58.990715+01
1416274138.99114,dbt3,2499,10,mark,psql,,-1,2014-11-18 02:28:58.989728+01,2014-11-18 02:28:58.991142+01,2014-11-18 02:28:58.991142+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, pid, usesysid, usename, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV);",active,2014-11-18 02:28:58.991146+01
1416274138.99114,dbt3,2500,10,mark,psql,,-1,2014-11-18 02:28:58.989847+01,2014-11-18 02:28:58.991502+01,2014-11-18 02:28:58.991502+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, relname, pid, mode, granted FROM pg_locks, pg_class WHERE relfilenode = relation ORDER BY relname) TO STDOUT (FORMAT CSV);",active,2014-11-18 02:28:58.991506+01
1416274138.99114,dbt3,2501,10,mark,psql,,-1,2014-11-18 02:28:58.989939+01,2014-11-18 02:28:58.991465+01,2014-11-18 02:28:58.991465+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, seq_scan, seq_tup_read, idx_scan, idx_tup_fetch, n_tup_ins, n_tup_upd, n_tup_del, n_tup_hot_upd, n_live_tup, n_dead_tup, heap_blks_read, heap_blks_hit, idx_blks_read, idx_blks_hit, toast_blks_read, toast_blks_hit, tidx_blks_read, tidx_blks_hit FROM pg_statio_all_tables a, pg_stat_all_tables b WHERE a.relid = b.relid) TO STDOUT (FORMAT CSV);",active,2014-11-18 02:28:58.991469+01
1416274138.99114,dbt3,30833,10,mark,psql,,-1,2014-11-18 02:27:58.989059+01,2014-11-18 02:27:58.99204+01,2014-11-18 02:27:58.99204+01,f,COPY orders FROM '/AXLE/mark/dbt3/dss/orders.tbl' USING DELIMITERS '|';,active,2014-11-18 02:27:58.992044+01
1416274138.99114,dbt3,30835,10,mark,psql,,-1,2014-11-18 02:27:58.989237+01,2014-11-18 02:27:58.991951+01,2014-11-18 02:27:58.991951+01,f,COPY lineitem FROM '/AXLE/mark/dbt3/dss/lineitem.tbl' USING DELIMITERS '|';,active,2014-11-18 02:27:58.991955+01
1416274198.99397,dbt3,6995,10,mark,psql,,-1,2014-11-18 02:29:58.991767+01,2014-11-18 02:29:58.993661+01,2014-11-18 02:29:58.993661+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, relname, pid, mode, granted FROM pg_locks, pg_class WHERE relfilenode = relation ORDER BY relname) TO STDOUT (FORMAT CSV);",active,2014-11-18 02:29:58.993684+01
1416274198.99397,dbt3,6996,10,mark,psql,,-1,2014-11-18 02:29:58.991938+01,2014-11-18 02:29:58.993591+01,2014-11-18 02:29:58.993591+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, numbackends, xact_commit, xact_rollback, blks_read, blks_hit, tup_returned, tup_fetched, tup_inserted, tup_updated, tup_deleted FROM pg_stat_database) TO STDOUT (FORMAT CSV);",active,2014-11-18 02:29:58.993596+01
1416274198.99397,dbt3,6997,10,mark,psql,,-1,2014-11-18 02:29:58.992363+01,2014-11-18 02:29:58.993972+01,2014-11-18 02:29:58.993972+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, pid, usesysid, usename, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV);",active,2014-11-18 02:29:58.993976+01
1416274198.99397,dbt3,6998,10,mark,psql,,-1,2014-11-18 02:29:58.992465+01,2014-11-18 02:29:58.994085+01,2014-11-18 02:29:58.994085+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV);",active,2014-11-18 02:29:58.99409+01
