ctime,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted
1416275618.6178,template1,0,0,0,0,0,0,0,0,0,0
1416275618.6178,template0,0,0,0,0,0,0,0,0,0,0
1416275618.6178,postgres,0,6266,24,54772,184829,2083708,73493,0,0,0
1416275618.6178,dbt3,17,90715,39,6188059529,7774076878,179377292886,68531390702,1838659372,10663,16074024
1416275678.61943,template1,0,0,0,0,0,0,0,0,0,0
1416275678.61943,template0,0,0,0,0,0,0,0,0,0,0
1416275678.61943,postgres,0,6268,24,54798,184858,2084370,73504,0,0,0
1416275678.61943,dbt3,27,91923,39,6190754057,7787850572,179471363327,68591042089,1838735064,10776,16074377
1416275738.62101,template1,0,0,0,0,0,0,0,0,0,0
1416275738.62101,template0,0,0,0,0,0,0,0,0,0,0
1416275738.62101,postgres,0,6270,24,54824,184887,2085032,73515,0,0,0
1416275738.62101,dbt3,25,92074,39,6195981677,7803903308,180174647766,68653604690,1838750137,10799,16149478
1416275798.62831,template1,0,0,0,0,0,0,0,0,0,0
1416275798.62831,template0,0,0,0,0,0,0,0,0,0,0
1416275798.62831,postgres,0,6272,24,54850,184916,2085694,73526,0,0,0
1416275798.62831,dbt3,27,92212,39,6202003987,7848794568,180894172769,68736358692,1838824983,10821,16149478
1416275858.63286,template1,0,0,0,0,0,0,0,0,0,0
1416275858.63286,template0,0,0,0,0,0,0,0,0,0,0
1416275858.63286,postgres,0,6274,24,54876,184945,2086356,73537,0,0,0
1416275858.63286,dbt3,27,92393,39,6213664679,7888369659,181926306733,68853141796,1838914724,10850,16224269
1416275918.63113,template1,0,0,0,0,0,0,0,0,0,0
1416275918.63113,template0,0,0,0,0,0,0,0,0,0,0
1416275918.63113,postgres,0,6276,24,54902,184974,2087018,73548,0,0,0
1416275918.63113,dbt3,28,92552,39,6222284678,7971371086,182571096281,69002491333,1838929781,10876,16298826
1416275978.63502,template1,0,0,0,0,0,0,0,0,0,0
1416275978.63502,template0,0,0,0,0,0,0,0,0,0,0
1416275978.63502,postgres,0,6278,24,54928,185003,2087680,73559,0,0,0
1416275978.63502,dbt3,27,92719,39,6231734831,7998767227,183266822688,69117756874,1839005275,10902,16298856
1416276038.63467,template1,0,0,0,0,0,0,0,0,0,0
1416276038.63467,template0,0,0,0,0,0,0,0,0,0,0
1416276038.63467,postgres,0,6280,24,54954,185032,2088342,73570,0,0,0
1416276038.63467,dbt3,27,92847,39,6240022241,8019352486,183857727153,69150791793,1839020312,10922,16373789
1416276098.63611,template1,0,0,0,0,0,0,0,0,0,0
1416276098.63611,template0,0,0,0,0,0,0,0,0,0,0
1416276098.63611,postgres,0,6282,24,54980,185061,2089004,73581,0,0,0
1416276098.63611,dbt3,28,93020,39,6251330010,8088831250,184628131695,69418774173,1839094855,10947,16373789
1416276158.63814,template1,0,0,0,0,0,0,0,0,0,0
1416276158.63814,template0,0,0,0,0,0,0,0,0,0,0
1416276158.63814,postgres,0,6284,24,55006,185090,2089666,73592,0,0,0
1416276158.63814,dbt3,28,93161,39,6256642504,8102058041,185088355923,69593385129,1839184536,10991,16448967
1416276218.64295,template1,0,0,0,0,0,0,0,0,0,0
1416276218.64295,template0,0,0,0,0,0,0,0,0,0,0
1416276218.64295,postgres,0,6286,24,55032,185119,2090328,73603,0,0,0
1416276218.64295,dbt3,28,93281,39,6263425194,8142442455,185725889050,69698715272,1839184552,11007,16448967
1416276278.66275,template1,0,0,0,0,0,0,0,0,0,0
1416276278.66275,template0,0,0,0,0,0,0,0,0,0,0
1416276278.66275,postgres,0,6288,24,55058,185148,2090990,73614,0,0,0
1416276278.66275,dbt3,28,93466,39,6272301975,8221453049,186492966292,69790993283,1839274354,11034,16524388
1416276338.66413,template1,0,0,0,0,0,0,0,0,0,0
1416276338.66413,template0,0,0,0,0,0,0,0,0,0,0
1416276338.66413,postgres,0,6290,24,55084,185177,2091652,73625,0,0,0
1416276338.66413,dbt3,28,93623,39,6281167480,8249841188,187160538167,69852887142,1839363989,11061,16599583
1416276398.66683,template1,0,0,0,0,0,0,0,0,0,0
1416276398.66683,template0,0,0,0,0,0,0,0,0,0,0
1416276398.66683,postgres,0,6292,24,55110,185206,2092314,73636,0,0,0
1416276398.66683,dbt3,28,93743,39,6290474991,8359640105,187797318936,70026170809,1839364035,11079,16599613
1416276458.67119,template1,0,0,0,0,0,0,0,0,0,0
1416276458.67119,template0,0,0,0,0,0,0,0,0,0,0
1416276458.67119,postgres,0,6294,24,55136,185235,2092976,73647,0,0,0
1416276458.67119,dbt3,28,93890,39,6296748686,8404152802,188388537568,70181003513,1839454331,11129,16674795
1416276518.67986,template1,0,0,0,0,0,0,0,0,0,0
1416276518.67986,template0,0,0,0,0,0,0,0,0,0,0
1416276518.67986,postgres,0,6296,24,55162,185264,2093638,73658,0,0,0
1416276518.67986,dbt3,27,94052,39,6304698863,8483233493,189221808979,70341811432,1839544879,11156,16749622
1416276578.67397,template1,0,0,0,0,0,0,0,0,0,0
1416276578.67397,template0,0,0,0,0,0,0,0,0,0,0
1416276578.67397,postgres,0,6298,24,55188,185293,2094300,73669,0,0,0
